,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
1105,KPMG,Courbevoie (92),France,ALTERNANT DATA & ANALYTICS AUDIT F/H SEPTEMBRE 2024,,"Posted
Offre publiée il y a 3 jour","Alternant Data & Analytics Audit F/H septembre 2024.
Mettre en œuvre des techniques d’analyse de données pour le commissariat aux comptes ;",18-01-2024
1106,Otoqi,Télétravail hybride à 75015 Paris,France,Data Science - stage,,"Posted
Offre publiée il y a plus de 30 jours","Nous ouvrons la voie en combinant notre plateforme digitale avec la puissance de l’intelligence artificielle, permettant à nos clients de commander des…",18-01-2024
1107,Capgemini Engineering,Lille (59),France,Mfg. & Process Technician,,"Posted
Publié à l'instant","Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l’aéronautique, l’automobile, le…",18-01-2024
1108,Science me Up,33000 Bordeaux,France,PhD systèmes distribués appliqués au Machine Learning,,"Posted
Offre publiée il y a plus de 30 jours",Notre client est une spin-off créé en 2010 par des chercheurs pour développer une plateforme d'aide à la décision qui utilise une méthode absolument novatrice…,18-01-2024
1109,EURO-INFORMATION DEVELOPPEMENTS,Nantes (44),France,Data Engineer - data factory (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Accélérer la valorisation des données au travers d’analyse de masse et de modèles allant jusqu’au prédictif.
Pour mener à bien ces missions, la relation métier…",18-01-2024
1110,ICON,Télétravail,France,Global Clinical Trial Assistant,,"Posted
Offre publiée il y a 2 jour","Degree in a health or science related field.
The Global Clinical Trial Assistant -Medical Affairs Organization( MAO ) assists with local project management…",18-01-2024
1111,AIRBUS HELICOPTERS SAS,Marseille (13),France,Data Scientist H/F,,"Posted
Offre publiée il y a 20 jour","Envie de déployer vos ailes ?
Et si VOTRE AVENTURE commençait avec NOUS ?...
Nous vous proposons d'intégrer un poste de Data Scientist dans une entreprise…",18-01-2024
1112,KPMG,Courbevoie (92),France,ARCHITECTE DATA & ANALYTICS F/H,,"Posted
Offre publiée il y a plus de 30 jours","En quête de nouveaux challenges, vous souhaitez rejoindre une société à mission en plein essor ?
Comme nos 10 000 collaborateurs, faites le choix d’un…",18-01-2024
1113,Dassault Systèmes,Vélizy-Villacoublay (78),France,Analyste Data H/F,,"Posted
Aujourd'hui","Vous serez également amener à développer des ""data science experiences"" (tableaux de bord sur la 3DEXPERIENCE platform ) qui permettront de révéler et analyser…",18-01-2024
1114,TotalEnergies,Palaiseau (91),France,STAGE - Reinforcement Learning - acceleration of global optimization techniques (H/F),,"Posted
Offre publiée il y a plus de 30 jours","If time and the quality of the methodology built allow it, the candidate can submit their work for publication in high level journals or conferences.",18-01-2024
1115,SKIILS SAS,Paris (75),France,Data Scientist (IT) / Freelance,,"Posted
Offre publiée il y a 8 jour","Contexte : Un grand groupe cherche un Data Scientist pour intégrer un projet Analytics.
Avoir au moins 4 années d?expériences en tant que Data Scientist.",18-01-2024
1116,HR-TEAM,Paris (75),France,Expert Archi - Socle Big Data & ML (H/F),,"Posted
Offre publiée il y a 1 jour","Description et livrables de la prestation.
Au sein de l?équipe Socles Big Data et Machine Learning, l?architecte solution Big Data et ML sera amené à:",18-01-2024
1117,Capgemini Invent,Paris (75),France,Consultant Expérimenté Intelligent Industry Data & Analytics F/H,,"Posted
Offre publiée il y a 15 jour","Accompagner la transformation organisationnelle des entreprises pour répondre aux enjeux data : Design d’organisation innovantes, formation, accompagnement au…",18-01-2024
1118,@talentEgal,Toulouse (31),France,Manager Data Science (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Formation technique Bac+5 (école d’ingénieur ou équivalent universitaire) ou bien doctorat (spécialisation en statistiques, data science, ou mathématiques),.",18-01-2024
1119,Alteia,31670 Labège,France,Data Science Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Bonne connaissance du deep learning et machine learning en général.
Au sein de nos bureaux Toulousains, vous rejoindrez une équipe de data scientists…",18-01-2024
1120,Ayming,Télétravail hybride à Levallois-Perret (92),France,CHEF DE PROJET INNOVANTS – AI – WEB3 – DATA ANALYTICS (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Gérer des projets innovants des directions métier dans le domaine de l’IA, de la blockchain, data analytics.
Quelles sont vos missions chez Ayming ?",18-01-2024
1121,SUEZ,Le Pecq (78),France,Innovation / R&D / Data Sciences_Modèle d'offre d'emploi,,"Posted
Offre publiée il y a plus de 30 jours","Avec 90 000 collaborateurs présents sur les cinq continents, SUEZ est un leader mondial dans la gestion intelligente et durable des ressources.",18-01-2024
1122,Cherry Pick,92000 Nanterre,France,Data Scientist (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Cherry Pick est à la recherche d?un Data Scientist pour l?un de ses clients dans le secteur de l?assurance.
Des modèles effectués par l?",18-01-2024
1123,EURO-INFORMATION DEVELOPPEMENTS,Villeneuve-d'Ascq (59),France,Data officer - data factory (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Vous avez acquis une solide expérience dans les projets Data, BI ou Data science en tant que chef de projet.
Première Banque à adopter le statut d’entreprise à…",18-01-2024
1124,Capgemini Engineering,Paris (75),France,Ingénieur(e) Computer Vision - Paris H/F,,"Posted
Offre publiée il y a 3 jour",Travailler en étroite collaboration avec les équipes DevOps et les ingénieurs data pour assurer une mise en production efficace des solutions.,18-01-2024
1125,Abeille assurances,Télétravail hybride à Bois-Colombes (92),France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Réalisation de modélisations : utilisation de techniques statistiques, de machine learning, de deep learning ou natural language processing.",18-01-2024
1126,EssilorLuxottica,Créteil (94),France,STAGE - Ingénieur Machine Learning - Développement d'un algorithme embarqué smart glasses H/F,,"Posted
Offre publiée il y a 16 jour","Nous sommes EssilorLuxottica, un leader mondial dans la conception, la fabrication et la distribution de verres ophtalmiques, de montures et de lunettes de…",18-01-2024
1127,TotalEnergies,Courbevoie (92),France,STAGE - Data Science - Support à la Coordination du Programme d'efficacité énergétique - F/H,,"Posted
Offre publiée il y a plus de 30 jours",Vous préparez un Master 2 en école d'ingénieur ou à l'université avec une réelle appétence pour l'informatique et recherchez un stage de 6 mois.,18-01-2024
1128,EURO-INFORMATION DEVELOPPEMENTS,Villeneuve-d'Ascq (59),France,Data Scientist Informatique Quantique (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Euro-Information, filiale technologique de Crédit Mutuel Alliance Fédérale, conçoit, réalise, maintient et exploite un système d’information commun utilisé par…",18-01-2024
1129,Cardiologs,Paris (75),France,Data Scientist Intern,,"Posted
Offre publiée il y a plus de 30 jours","+ You have a previous internship working with deep learning or health care data.
Understand and generalize machine learning tools.",18-01-2024
1130,Median Technologies,Sophia Antipolis (06),France,AI applied to CT scans M/F,,"Posted
Offre publiée il y a plus de 30 jours","Model Test and Reporting: Your final goal will be to test your model on in-house data, and write a detailed report on how learning nodule descriptors actually…",18-01-2024
1131,SAP,06254 Mougins,France,PhD Student: Security for Machine Learning F/M,,"Posted
Offre publiée il y a 2 jour","Knowledge of data privacy, computer security and/or big data processing.
Join us and help drive innovation in machine learning security!",18-01-2024
1132,Siège de l'AP-HP,75184 Paris,France,DATA SCIENTIST,,"Posted
Offre publiée il y a 6 jour","Rattaché(e) aux responsables de l'URC du GHUPSSD, et en lien avec le coordinateur GH de l'EDS, le/la data scientist aura pour missions principales de :",18-01-2024
1133,Dassault Systèmes,Vélizy-Villacoublay (78),France,STAGE - Data Scientist - Industry Intelligence (H/F) - Mars 2024,,"Posted
Offre publiée il y a plus de 30 jours","Vous avez des compétences en data visualisation et communication.
Dans ce contexte, nous recherchons un ou une data scientist qui interviendra dans des missions…",18-01-2024
1134,Octopus Energy,75009 Paris,France,Lead data analyst,,"Posted
Offre publiée il y a 7 jour","Dans un contexte de croissance forte, Octopus Energy France renforce ses équipes Data pour accompagner l’entreprise dans sa croissance, améliorer l’expérience…",18-01-2024
1135,Meta,Paris (75),France,"Research Scientist Intern, Neuroscience / NLP",,"Posted
Offre publiée il y a 14 jour","Experience building systems based on machine learning, reinforcement learning and/or deep learning methods.
We are seeking individuals passionate in areas such…",18-01-2024
1136,France Médias Monde,Issy-les-Moulineaux (92),France,AUDIENCE DATA MANAGER,,"Posted
Publié à l'instant",Initier une démarche de data science au sein de la structure en vue de concevoir et réaliser des modèles statistiques et/ou de machine learning pour résoudre…,18-01-2024
1137,Hôpital National des Quinze-Vingts,75571 Paris,France,Data scientist,,"Posted
Offre publiée il y a 2 jour","Le data scientist est compétent en méthodologie de la recherche, en machine learning, réseaux de neurones convolutionnels, traitement du signal.",18-01-2024
1138,FABDEV,75015 Paris,France,Data scientist,,"Posted
Offre publiée il y a plus de 30 jours","Savoir gérer une machine linux.
Vous serez amené(e) à traiter des problématiques d’analyse de données, de machine learning pour nos clients grands comptes.",18-01-2024
1139,Dassault Systèmes,Vélizy-Villacoublay (78),France,STAGE - Développement Javascript / C++ / Machine Learning (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Au sein de CATIA, vous intégrez l'équipe « Visual Scripting » en charge du développement d'une application de modélisation 3D paramétrique de nouvelle…",18-01-2024
1140,Capgemini Invent,Paris (75),France,CDI Consultant junior en Transformation et Innovation digitale - Paris F/H,,"Posted
Offre publiée il y a 2 jour","Des expertises reconnues dans la stratégie, les technologies, la « data science » et le « creative design ».
Nous rejoindre, c’est entrer au cœur du digital et…",18-01-2024
1141,TotalEnergies,Paris (75),France,DATA ENGINEER H/F,,"Posted
Offre publiée il y a plus de 30 jours","Tu intègres également les données dans le data lake.
Rejoins-nous en plein cœur de Paris en tant que Data Engineer et intègre une de nos 30 squads qui réunit 8…",18-01-2024
1142,Aquila Data Enabler,92400 Courbevoie,France,DATA SCIENTIST COMPUTER VISION,,"Posted
Offre publiée il y a plus de 30 jours","Le machine learning / deep learning, etc).
À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse…",18-01-2024
1143,DATACORP,31000 Toulouse,France,Expert PowerBI - Data Analyst,,"Posted
Publié à l'instant",Nous recherchons un spécialiste PowerBI pour rejoindre notre équipe COO en charge de la Coordination Technique.,18-01-2024
1144,Sanofi,Lyon (69),France,Data Analyst - All Genders,,"Posted
Publié à l'instant","Identify new opportunities to leverage data and to integrate data or applications to enhance business value.
Reporting directly to the head of R&D COE platform,…",18-01-2024
1145,Aquila Data Enabler,92400 Courbevoie,France,DATA SCIENTIST,,"Posted
Offre publiée il y a plus de 30 jours","Votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique, le machine.",18-01-2024
1146,Capgemini Engineering,Brest (29),France,Data & AI Engineer,,"Posted
Offre publiée il y a plus de 30 jours",Description de l'entreprise Description de la mission…,18-01-2024
